Entity,Year,Mean BMI (male),Year,Mean BMI (female),Year,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
Kiribati,2016.0,29.16996617,2016.0,31.3037358,,,
Kuwait,2016.0,29.19359451,2016.0,30.66093207,,,
Kyrgyzstan,2016.0,26.13858825,2016.0,27.43290879,,,
Laos,2016.0,22.79560541,2016.0,23.20833965,,,
Latin America and Caribbean,2016.0,26.79361101,2016.0,27.53337426,,,
Latvia,2016.0,27.19496331,2016.0,26.45084333,,,
Lebanon,2016.0,28.1243274,2016.0,27.64767452,,,
Lesotho,2016.0,22.81298191,2016.0,27.1352051,,,
Liberia,2016.0,23.17230055,2016.0,25.19952427,,,
Libya,2016.0,27.05258408,2016.0,29.56632955,,,
Lithuania,2016.0,27.21831369,2016.0,26.05921691,,,
Luxembourg,2016.0,27.24497208,2016.0,25.75479558,,,
Madagascar,2016.0,21.57781202,2016.0,21.14453119,,,
Malawi,2016.0,22.59813348,2016.0,23.26532312,,,
Malaysia,2016.0,25.40068289,2016.0,26.30422774,,,
Maldives,2016.0,24.84316797,2016.0,26.55675736,,,
Mali,2016.0,22.99991795,2016.0,23.18221551,,,
Malta,2016.0,27.9549695,2016.0,26.59676335,,,
Marshall Islands,2016.0,29.07705261,2016.0,30.66769672,,,
Mauritania,2016.0,23.36943897,2016.0,26.75406167,,,
Mauritius,2016.0,24.67017349,2016.0,26.06693249,,,
Mexico,2016.0,27.63516419,2016.0,28.5927059,,,
Micronesia (country),2016.0,28.33833847,2016.0,31.53416098,,,
Moldova,2016.0,26.78111685,2016.0,27.58411562,,,
Mongolia,2016.0,26.05091403,2016.0,26.76993285,,,
Montenegro,2016.0,27.17491841,2016.0,26.29841226,,,
Morocco,2016.0,25.5612347,2016.0,26.69405022,,,
Mozambique,2016.0,22.06723557,2016.0,23.49925099,,,
Myanmar,2016.0,22.31810837,2016.0,23.16920511,,,
Namibia,2016.0,23.05884274,2016.0,25.54331027,,,
Nauru,2016.0,32.28321941,2016.0,32.94599814,,,
Nepal,2016.0,22.62258358,2016.0,22.54971901,,,
Netherlands,2016.0,26.1427578,2016.0,25.25583137,,,
New Zealand,2016.0,28.29108535,2016.0,28.1097167,,,
Nicaragua,2016.0,26.67507287,2016.0,28.13943727,,,
Niger,2016.0,21.45848169,2016.0,22.38324661,,,
Nigeria,2016.0,22.64855815,2016.0,24.03240199,,,
Niue,2016.0,31.58898981,2016.0,33.50940163,,,
North Korea,2016.0,24.35311105,2016.0,24.08519001,,,
North Macedonia,2016.0,27.47787553,2016.0,26.403139,,,
Norway,2016.0,27.43953645,2016.0,26.26415039,,,
Oceania,2016.0,25.93496553,2016.0,26.91067749,,,
Oman,2016.0,26.52521415,2016.0,26.45759051,,,
Pakistan,2016.0,23.41747955,2016.0,24.80713807,,,
Palau,2016.0,29.63516593,2016.0,29.71899666,,,
Palestine,2016.0,28.26592886,2016.0,30.0009653,,,
Panama,2016.0,26.33225151,2016.0,27.84507405,,,
Papua New Guinea,2016.0,25.39883144,2016.0,26.00865594,,,
Paraguay,2016.0,26.707868,2016.0,27.13007968,,,
Peru,2016.0,26.3662965,2016.0,27.27829945,,,
Philippines,2016.0,22.89963784,2016.0,23.60315367,,,
Poland,2016.0,27.63955019,2016.0,26.15003733,,,
Portugal,2016.0,26.27238812,2016.0,25.30196049,2016.0,461.25,1773.03
Puerto Rico,2016.0,28.46981257,2016.0,28.67183508,,,
Qatar,2016.0,28.93386095,2016.0,30.37723605,,,
Romania,2016.0,27.3277675,2016.0,27.02751136,,,
Russia,2016.0,25.98863335,2016.0,26.69187846,,,
Rwanda,2016.0,21.28077014,2016.0,22.75714568,,,
Saint Kitts and Nevis,2016.0,28.37610431,2016.0,30.89159317,,,
Saint Lucia,2016.0,29.81370474,2016.0,30.59957482,,,
Saint Vincent and the Grenadines,2016.0,26.44665194,2016.0,28.42279274,,,
Samoa,2016.0,30.62990811,2016.0,34.33982466,,,
Sao Tome and Principe,2016.0,23.9792431,2016.0,25.76122035,,,
Saudi Arabia,2016.0,28.13973836,2016.0,29.50637747,,,
Senegal,2016.0,21.90378795,2016.0,24.13324951,,,
Serbia,2016.0,26.78923098,2016.0,25.73872813,,,
Seychelles,2016.0,25.68074012,2016.0,28.23789445,,,
Sierra Leone,2016.0,21.9114498,2016.0,23.58342185,,,
Singapore,2016.0,24.4019799,2016.0,23.14285847,,,
Slovakia,2016.0,27.54900625,2016.0,25.72590086,,,
Slovenia,2016.0,26.78385887,2016.0,26.73878467,,,
Solomon Islands,2016.0,25.81026423,2016.0,27.07650928,,,
Somalia,2016.0,22.54632092,2016.0,23.96891503,,,
