Entity,Continent,,Cardiovascular diseases,High Body-Mass Index,Lack of Protein,High Fasting Plasma Glucose,Protein-Energy Malnutrition,Digestive Diseases
Albania,Europe,3.0,349.8244,69.36065,6.0,49.371452,0.39,14.276391
Antigua and Barbuda,North America,4.0,213.94537,81.011826,5.55,150.66737,1.13,32.259327
Argentina,South America,5.0,216.99747,73.94354,8.28,71.95559,4.12,27.378267
Armenia,Asia,1.0,332.6742,101.00166,0.25,148.35031,0.06,19.465801
Australia,Oceania,6.0,154.0971,53.65942,0.05,57.869183,0.33,13.825218
Austria,Europe,3.0,235.8798,55.2018,0.01,49.358395,0.0,25.984587
Azerbaijan,Asia,1.0,493.88245,134.68825,5.92,116.73326,0.8,46.04058
Bahamas,North America,4.0,221.27394,118.37488,4.34,125.63487,1.41,32.567436
Bahrain,Asia,1.0,219.77643,183.99872,0.55,270.84457,0.78,30.956795
Barbados,North America,4.0,192.03613,95.20393,2.93,138.35512,2.32,25.15195
Belarus,Europe,3.0,498.23938,130.37373,1.26,83.92472,0.35,23.033125
Belgium,Europe,3.0,173.59244,44.67516,0.03,45.303726,1.31,23.52143
Belize,North America,4.0,518.6093,123.03947,18.8,135.63252,4.65,38.52776
Brazil,South America,5.0,227.87212,82.77841,37.22,88.72411,6.31,33.705433
Brunei,Asia,1.0,239.88377,65.90242,0.04,253.54442,0.1,14.544878
Bulgaria,Europe,3.0,552.07355,192.71419,0.25,157.00943,0.11,23.549133
Canada,North America,4.0,149.12917,53.30072,0.04,50.1268,0.6,17.138287
Chile,South America,5.0,159.4578,69.03213,0.8,63.060165,3.47,40.819195
Colombia,South America,5.0,201.25258,60.22793,22.2,93.08929,5.59,27.197458
Costa Rica,North America,4.0,169.33978,58.256657,1.22,74.2757,0.48,35.03633
Croatia,Europe,3.0,418.54465,101.162476,0.02,106.75247,0.0,41.83226
Cuba,North America,4.0,225.66106,55.482292,0.95,80.10311,0.51,22.72543
Cyprus,Europe,3.0,177.823,71.82652,0.02,172.15288,0.04,5.1610136
Czechia,Europe,3.0,342.27258,108.931816,0.01,132.13211,0.11,28.203205
Denmark,Europe,3.0,183.12325,47.58489,0.03,46.744293,0.96,29.589218
Dominican Republic,North America,4.0,135.3624,46.2667,26.55,53.125423,3.14,21.414375
Ecuador,South America,5.0,151.84665,73.06266,31.97,79.784935,6.8,33.990368
Egypt,Africa,2.0,343.8625,182.73387,3.58,113.82348,2.19,68.84565
El Salvador,North America,4.0,154.4828,69.49599,14.66,92.96187,4.49,40.3093
Estonia,Europe,3.0,418.51855,120.898155,0.47,80.41353,0.22,31.374762
Finland,Europe,3.0,216.72484,54.161133,0.02,68.152245,0.04,23.630575
France,Europe,3.0,123.24474,36.97319,0.04,29.442007,4.63,22.413578
Georgia,Asia,1.0,508.78705,149.00554,0.04,111.76798,0.03,23.4106
Germany,Europe,3.0,215.06265,61.556953,0.01,88.542435,0.09,27.496887
Greece,Europe,3.0,248.34215,61.010593,0.02,55.55667,0.0,13.423841
Guadeloupe,North America,4.0,136.50023,0.0,0.0,0.0,0.0,26.182604
Guatemala,North America,4.0,132.72223,50.996403,39.07,130.54745,32.42,62.321735
Hong Kong,Asia,1.0,111.6899,0.0,0.0,0.0,0.0,17.167625
Hungary,Europe,3.0,408.47653,130.48303,0.18,122.417595,0.08,71.91316
Iceland,Europe,3.0,166.58582,44.812656,0.01,35.207172,0.36,11.869413
Ireland,Europe,3.0,234.03299,61.71572,0.01,43.497196,0.31,20.242365
Israel,Asia,1.0,146.48653,63.306396,0.05,101.311874,0.25,16.264454
Italy,Europe,3.0,174.53062,47.115067,0.02,68.27342,0.23,21.34164
Jamaica,North America,4.0,185.97723,97.57622,4.83,158.62633,3.28,16.498556
Japan,Asia,1.0,109.44353,17.385145,0.06,29.724392,0.98,15.636759
Kazakhstan,Asia,1.0,597.82,202.36205,1.43,149.00896,0.47,42.56566
Kuwait,Asia,1.0,291.7579,122.56555,0.04,127.882996,0.01,15.754374
Kyrgyzstan,Asia,1.0,507.87973,119.41148,0.74,70.725815,0.36,55.402893
Lithuania,Europe,3.0,382.1818,100.749214,0.14,55.676685,0.03,26.987192
Luxembourg,Europe,3.0,173.10283,51.085594,0.04,43.0225,0.15,28.996273
Malaysia,Asia,1.0,113.08715,69.68503,0.36,133.90096,0.63,14.106562
Maldives,Asia,1.0,31.486345,32.888203,4.96,123.99967,1.96,164.75053
Malta,Europe,3.0,239.82756,55.836224,0.01,99.95453,0.0,16.894836
